Date,Open,High,Low,Close,Adj Close,Volume
2019-09-24,24.250000,24.320000,23.860001,23.879999,23.662643,2277400
2019-09-25,23.910000,24.440001,23.830000,24.240000,24.019367,2421100
2019-09-26,24.350000,24.520000,24.090000,24.240000,24.019367,2029300
2019-09-27,24.270000,24.420000,24.129999,24.129999,23.910368,1130100
2019-09-30,24.230000,24.450001,24.070000,24.230000,24.009457,1992200
2019-10-01,24.000000,24.540001,23.950001,24.230000,24.009457,1909900
2019-10-02,24.250000,24.420000,23.830000,23.830000,23.613098,2299800
2019-10-03,23.910000,24.070000,23.510000,23.680000,23.464464,2046000
2019-10-04,23.700001,23.700001,23.420000,23.610001,23.395103,2106400
2019-10-07,23.510000,23.610001,22.830000,22.850000,22.642021,3167100
2019-10-08,22.870001,23.330000,22.629999,22.809999,22.602383,2652900
2019-10-09,22.889999,23.080000,22.780001,22.870001,22.661839,1855100
2019-10-10,22.900000,23.150000,22.830000,22.969999,22.760929,1964000
2019-10-11,23.190001,23.870001,23.070000,23.670000,23.454557,3536200
2019-10-14,23.760000,24.160000,23.500000,23.750000,23.533827,2221000
2019-10-15,23.750000,23.980000,23.629999,23.780001,23.563557,2101000
